name,symbol,tv_symbol,eod_symbol,y_symbol
Egyptians for Housing & Development (EHDR),EHDR,EGX:EHDR,EHDR.CA,EHDR.CA
Arab Co. for Asset Management (ACAMD),ACAMD,EGX:ACAMD,ACAMD.CA,ACAMD.CA
General Company For Land Reclamation (AALR),AALR,EGX:AALR,AALR.CA,AALR.CA
Atlas for Investment & Food Industries (ALRA),ALRA,EGX:ALRA,ALRA.CA,ALRA.CA
National Company for Housing Professional Syndicates (NHPS),NHPS,EGX:NHPS,NHPS.CA,NHPS.CA
National Drilling Company (NDRL),NDRL,EGX:NDRL,NDRL.CA,NDRL.CA
Misr Oils & Soap (MOSC),MOSC,EGX:MOSC,MOSC.CA,MOSC.CA
Mena for Touristic & Real Estate Investment (MENA),MENA,EGX:MENA,MENA.CA,MENA.CA
Amer Group Holding (AMER),AMER,EGX:AMER,AMER.CA,AMER.CA
AlKhair River for Development (KRDI),KRDI,EGX:KRDI,KRDI.CA,KRDI.CA
Ismailia / Misr Poultry (ISMA),ISMA,EGX:ISMA,ISMA.CA,ISMA.CA
Mansoura Poultry (MPCO),MPCO,EGX:MPCO,MPCO.CA,MPCO.CA
Egyptian Transport and Commercial Services (ETRS),ETRS,EGX:ETRS,ETRS.CA,ETRS.CA
ODIN Investments (ODIN),ODIN,EGX:ODIN,ODIN.CA,ODIN.CA
North Cairo Flour Mills (MILS),MILS,EGX:MILS,MILS.CA,MILS.CA
Naeem Real Estate Holding (NARE),NARE,EGX:NARE,NARE.CA,NARE.CA
Remco Tourism Villages Construction (RTVC),RTVC,EGX:RTVC,RTVC.CA,RTVC.CA
Marseille Almasreia Alkhalegeya (MAAL),MAAL,EGX:MAAL,MAAL.CA,MAAL.CA
SHARM DREAMS (SDTI),SDTI,EGX:SDTI,SDTI.CA,SDTI.CA
Cairo Oil & Soap Company (COSG),COSG,EGX:COSG,COSG.CA,COSG.CA
Rakta Paper Manufacturing (RAKT),RAKT,EGX:RAKT,RAKT.CA,RAKT.CA
Sabaa International Pharma (SIPC),SIPC,EGX:SIPC,SIPC.CA,SIPC.CA
Unirab Polvara Spinning & Weaving (APSW),APSW,EGX:APSW,APSW.CA,APSW.CA
Medical Packaging Company (MEPA),MEPA,EGX:MEPA,MEPA.CA,MEPA.CA
Extracted Oil & Derivatives Co. (ZEOT),ZEOT,EGX:ZEOT,ZEOT.CA,ZEOT.CA
Saudi Egyptian Investment & Finance Co. (SEIG),SEIG,EGX:SEIG,SEIG.CA,SEIG.CA
El-Saeed Company for Contracting & Real Estate (UEGC),UEGC,EGX:UEGC,UEGC.CA,UEGC.CA
Giza General - Contracting and Real Estate (GGCC),GGCC,EGX:GGCC,GGCC.CA,GGCC.CA
EI- Nile Co. for Pharmaceuticals & Chemical Industries (NIPH),NIPH,EGX:NIPH,NIPH.CA,NIPH.CA
South Cairo & Giza Flour Mills & Bakeries (SCFM),SCFM,EGX:SCFM,SCFM.CA,SCFM.CA
Cairo Educational Services (CAED),CAED,EGX:CAED,CAED.CA,CAED.CA
